# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
bcat-1,t27a8.2
bcat-1,2l52.1
bcat-1,h29c22.1
bcat-1,nspe-1
bcat-1,amt-4
bcat-1,aqp-6
bcat-1,f35e8.13
bcat-1,k06c4.1
bcat-1,k11g9.1
bcat-1,c50d2.6
bcat-1,scd-1
bcat-1,nlp-24
bcat-1,dohh-1
bcat-1,k09c8.7
bcat-1,f53g2.1
bcat-1,f45e10.2
bcat-1,y57g11c.31
bcat-1,prmt-6
bcat-1,f13h8.9
bcat-1,clec-218
bcat-1,f59c6.16
bcat-1,b0250.4
bcat-1,sup-37
bcat-1,c01g5.9
bcat-1,dhs-27
bcat-1,c25d7.15
bcat-1,fbxc-57
bcat-1,inso-1
bcat-1,kap-1
bcat-1,f11a5.18
bcat-1,f23f1.4
bcat-1,stn-1
bcat-1,f35h12.5
bcat-1,f37h8.2
bcat-1,f41b4.3
bcat-1,f52b11.5
bcat-1,f53a9.7
bcat-1,bra-1
bcat-1,nhr-194
bcat-1,h12d21.10
bcat-1,k08d9.4
bcat-1,m60.6
bcat-1,r05g6.5
bcat-1,r09a8.1
bcat-1,r11e3.2
bcat-1,mks-1
bcat-1,t02c1.2
bcat-1,nhr-84
bcat-1,t09f5.12
bcat-1,t23c6.4
bcat-1,w05h7.1
bcat-1,y105c5a.1268
bcat-1,anoh-2
bcat-1,y58a7a.2
bcat-1,zc239.22
bcat-1,zk816.1
bcat-1,c25f9.14
bcat-1,wdfy-3
bcat-1,twk-26
bcat-1,col-99
bcat-1,f37h8.7
bcat-1,nas-28
bcat-1,f42c5.6
bcat-1,f42g4.5
bcat-1,k07f5.16
bcat-1,r08c7.1
bcat-1,ceh-89
bcat-1,y54g2a.40
bcat-1,col-63
bcat-1,bli-1
bcat-1,bli-6
bcat-1,c49c3.8
bcat-1,flp-28
bcat-1,nhr-168
bcat-1,mec-19
bcat-1,f33e2.4
bcat-1,c17d12.3
bcat-1,c24h12.11
bcat-1,b0507.2
bcat-1,chd-3
bcat-1,t23e7.5
bcat-1,egl-1
bcat-1,f53f4.17
bcat-1,tir-1
bcat-1,lron-11
bcat-1,c39b5.2
bcat-1,ceh-13
bcat-1,nhr-94
bcat-1,igdb-3
bcat-1,b0250.12
bcat-1,pab-2
bcat-1,y65a5a.1
bcat-1,ceh-20
bcat-1,str-154
bcat-1,pxd-1
bcat-1,f56c11.6
bcat-1,k05c4.9
bcat-1,c23h4.6
bcat-1,vhp-1
bcat-1,kqt-1
bcat-1,hid-1
bcat-1,w05h12.2
bcat-1,b0284.3
bcat-1,c54g10.4
bcat-1,f49e7.2
bcat-1,amt-2
bcat-1,f37c4.4
bcat-1,ain-1
bcat-1,syd-2
bcat-1,pan-1
bcat-1,nhr-232
bcat-1,vamp-8
bcat-1,y38h6c.9
bcat-1,y87g2a.16
bcat-1,f09f7.7
bcat-1,sma-1
bcat-1,nac-2
bcat-1,rsf-1
bcat-1,c33d9.8
bcat-1,madf-10
bcat-1,c09b9.1
bcat-1,y71a12b.18
bcat-1,ceh-5
bcat-1,vw02b12l.2
bcat-1,fbxa-79
bcat-1,b0261.8
bcat-1,cyp-34a1
bcat-1,srsx-20
bcat-1,k07a1.3
bcat-1,her-1
bcat-1,mig-10
bcat-1,c47e12.13
bcat-1,w09c5.3
bcat-1,tbx-7
bcat-1,y77e11a.14
bcat-1,zc373.5
bcat-1,f21d9.6
bcat-1,fbxc-54
bcat-1,t05a7.3
bcat-1,t27a1.2
bcat-1,h10d18.1
bcat-1,c25h3.12
bcat-1,frpr-6
bcat-1,col-114
bcat-1,y54e2a.10
bcat-1,h23l24.1
bcat-1,c32a9.1
bcat-1,y7a5a.3
bcat-1,nlt-1
bcat-1,flp-10
bcat-1,his-48
bcat-1,elt-6
bcat-1,klp-20
bcat-1,m01h9.4
bcat-1,r12e2.15
bcat-1,pqm-1
bcat-1,f41f3.3
bcat-1,ptrn-1
bcat-1,kvs-2
bcat-1,f49f1.8
bcat-1,t09f5.20
bcat-1,din-1
bcat-1,nmy-1
bcat-1,flcn-1
bcat-1,b0391.14
bcat-1,fln-2
bcat-1,f27d4.6
bcat-1,f20c5.6
bcat-1,unc-70
bcat-1,cdh-4
bcat-1,c24a3.1
bcat-1,c18e3.4
bcat-1,pmk-2
bcat-1,unc-64
bcat-1,y38h6a.5
bcat-1,k08e5.5
bcat-1,c06g3.5
bcat-1,b0457.6
bcat-1,w07g4.1
bcat-1,r02e4.3
bcat-1,cebp-1
bcat-1,c42d4.18
bcat-1,cpna-5
bcat-1,rpm-1
bcat-1,kel-1
bcat-1,y43f8b.2
bcat-1,dyf-7
bcat-1,y57g11c.20
bcat-1,zig-4
bcat-1,c17e4.19
bcat-1,y17g9b.11
bcat-1,c05b5.4
bcat-1,shc-2
bcat-1,t23g5.3
bcat-1,c07a9.12
bcat-1,nhr-209
bcat-1,nhr-172
bcat-1,tatn-1
bcat-1,nhr-14
bcat-1,k02g10.15
bcat-1,r02d3.1
bcat-1,f19b10.13
bcat-1,gcy-22
bcat-1,gyg-1
bcat-1,fbxa-150
bcat-1,f25b3.5
bcat-1,c15c7.5
bcat-1,zip-9
bcat-1,ttr-33
bcat-1,t08a9.13
bcat-1,t23f4.2
bcat-1,t03d8.6
bcat-1,k02a11.3
bcat-1,syx-2
bcat-1,f23c8.7
bcat-1,w03d8.3
bcat-1,cbs-2
bcat-1,srx-13
bcat-1,k07c5.9
bcat-1,k04c2.7
bcat-1,y39a1a.27
bcat-1,jip-1
bcat-1,npr-15
bcat-1,zk892.5
bcat-1,acr-5
bcat-1,t13f3.7
bcat-1,f29d10.1
bcat-1,c45b11.8
bcat-1,col-156
bcat-1,w04g5.8
bcat-1,y55f3c.9
bcat-1,baz-2
bcat-1,rgs-1
bcat-1,e01g4.6
bcat-1,dao-4
bcat-1,f39c12.1
bcat-1,y48g1bm.6
bcat-1,gly-12
bcat-1,elt-1
bcat-1,w03b1.9
bcat-1,f19d8.2
bcat-1,f11c1.7
bcat-1,osm-1
bcat-1,fbxa-91
bcat-1,k09f6.10
bcat-1,zk512.11
bcat-1,ric-19
bcat-1,f59e12.6
bcat-1,nep-11
bcat-1,c16b8.4
bcat-1,str-93
bcat-1,c46c2.2
bcat-1,t07c12.15
bcat-1,ah9.1
bcat-1,c25g6.4
bcat-1,b0563.6
bcat-1,nac-3
bcat-1,ac3.9
bcat-1,t10e9.8
bcat-1,efn-4
bcat-1,r07b7.9
bcat-1,f25e5.4
bcat-1,ac8.3
bcat-1,b0041.11
bcat-1,zk177.2
bcat-1,f58h7.5
bcat-1,f55c5.2
bcat-1,k09f6.9
bcat-1,drh-2
bcat-1,k09f6.6
bcat-1,y20f4.8
bcat-1,mir-5548
bcat-1,f35e12.4
bcat-1,c30e1.9
bcat-1,f47h4.12
bcat-1,lin-10
bcat-1,f22h10.6
bcat-1,
bcat-1,f59f4.2
bcat-1,tba-6
bcat-1,rrn-1.1
bcat-1,y48g8al.12
bcat-1,rrn-1.2
bcat-1,w05b2.7
bcat-1,y39e4b.6
bcat-1,lron-14
bcat-1,y48g8al.16
bcat-1,d1086.11
bcat-1,c33d9.13
bcat-1,c44b11.6
bcat-1,r07b1.5
bcat-1,y59h11ar.6
bcat-1,zc47.8
bcat-1,f55c9.5
bcat-1,t05e11.9
bcat-1,f55c9.3
bcat-1,fbxa-52
bcat-1,f17c11.12
bcat-1,numr-2
bcat-1,gcy-5
bcat-1,c54e10.6
bcat-1,c11h1.5
bcat-1,y71g12b.6
bcat-1,t04g9.4
bcat-1,c05d9.4
bcat-1,t01b11.2
bcat-1,numr-1
bcat-1,zk384.4
bcat-1,f43c1.7
bcat-1,nhr-245
bcat-1,f30b5.7
bcat-1,mif-4
bcat-1,zmp-1
bcat-1,f28c10.3
bcat-1,frm-2
bcat-1,r10e12.2
bcat-1,alg-1
bcat-1,tcl-2
bcat-1,mec-8
bcat-1,t28f4.1
bcat-1,abl-1
bcat-1,lin-25
bcat-1,zk418.6
bcat-1,c25g4.2
bcat-1,f53e10.5
bcat-1,dlk-1
bcat-1,y48c3a.5
bcat-1,r119.5
bcat-1,anmt-1
bcat-1,f16b4.2
bcat-1,k04f10.1
bcat-1,eef-1a.2
bcat-1,islo-1
bcat-1,nhr-79
bcat-1,f14f9.3
bcat-1,r01h2.8
bcat-1,pmp-4
bcat-1,b0205.14
bcat-1,nmtn-1
bcat-1,svh-1
bcat-1,y66d12a.14
bcat-1,dyf-2
bcat-1,y38h6c.8
bcat-1,c38d4.7
bcat-1,c46f11.6
bcat-1,t11a5.6
bcat-1,c24h12.1
bcat-1,t01c1.4
bcat-1,t06g6.12
bcat-1,y39c12a.9
bcat-1,f55g11.6
bcat-1,r07b1.11
bcat-1,d1007.18
bcat-1,zk896.1
bcat-1,tos-1
bcat-1,twk-6
bcat-1,c25d7.2
bcat-1,k06a4.6
bcat-1,y17g9b.8
bcat-1,f22d3.4
bcat-1,f23c8.1
bcat-1,w06h8.5
bcat-1,clec-154
bcat-1,daf-37
bcat-1,cec-1
bcat-1,c17c3.6
bcat-1,c30a5.4
bcat-1,f43c11.8
bcat-1,t24a6.17
bcat-1,k10d6.3
bcat-1,c25h3.1
bcat-1,c25d7.14
bcat-1,y75b7b.1
bcat-1,y56a3a.18
bcat-1,r07b7.4
bcat-1,y39a1c.1
bcat-1,mab-31
bcat-1,ncs-2
bcat-1,y23h5b.7
bcat-1,y39g10ar.15
bcat-1,c16a3.6
bcat-1,fbxa-13
bcat-1,srr-2
bcat-1,f09c8.2
bcat-1,nhr-61
bcat-1,c28h8.7
bcat-1,fbxa-149
bcat-1,k09e9.1
bcat-1,w05h9.3
bcat-1,nhr-178
bcat-1,igeg-1
bcat-1,nhr-115
bcat-1,nipi-3
bcat-1,gadr-6
bcat-1,y67d8b.4
bcat-1,got-1.2
bcat-1,oac-7
bcat-1,nhr-154
bcat-1,nhr-142
bcat-1,fbxa-63
bcat-1,k08b12.3
bcat-1,c50b6.9
bcat-1,lgl-1
bcat-1,nhr-140
bcat-1,t20d4.7
bcat-1,y54g11a.7
bcat-1,f10g7.5
bcat-1,cyp-31a1
bcat-1,y37e11b.1
bcat-1,nhr-141
bcat-1,nhr-137
bcat-1,glr-4
bcat-1,best-18
bcat-1,f07h5.4
bcat-1,f08g12.1
bcat-1,y75d11a.2
bcat-1,zk470.2
bcat-1,fbxa-10
bcat-1,sax-3
bcat-1,clp-4
bcat-1,f12a10.2
bcat-1,unc-73
bcat-1,fbxa-92
bcat-1,b0286.1
bcat-1,skr-3
bcat-1,nhr-228
bcat-1,jbts-14
bcat-1,mig-15
bcat-1,cars-2
bcat-1,snx-17
bcat-1,f47f2.1
bcat-1,sodh-2
bcat-1,y55b1al.1
bcat-1,col-49
bcat-1,col-175
bcat-1,t13c2.2
bcat-1,f49e12.8
bcat-1,ac8.11
bcat-1,c45b11.2
bcat-1,c29f9.1
bcat-1,sma-5
bcat-1,k06b9.4
bcat-1,ncx-3
bcat-1,fbxb-14
bcat-1,c30a5.16
bcat-1,y57a10a.26
bcat-1,f23c8.13
bcat-1,r03g5.6
bcat-1,ac8.4
bcat-1,y46g5a.6
bcat-1,c05c9.3
bcat-1,zc513.7
bcat-1,cst-2
bcat-1,r05g6.1
bcat-1,f52h2.4
bcat-1,t28f3.5
bcat-1,chil-3
bcat-1,y73b6bl.27
bcat-1,col-35
bcat-1,c12d5.10
bcat-1,nhr-32
bcat-1,y53f4b.8
bcat-1,f09c12.6
bcat-1,y106g6e.3
bcat-1,y105c5a.14
bcat-1,r11g1.2
bcat-1,ife-4
bcat-1,fbxa-154
bcat-1,y60a9.2
bcat-1,t04d1.2
bcat-1,c54d10.9
bcat-1,w03h9.2
bcat-1,c13c4.4
bcat-1,t02g5.14
bcat-1,clec-140
bcat-1,wbgene00020161
bcat-1,f31f6.3
bcat-1,nhr-276
bcat-1,lin-22
bcat-1,math-46
bcat-1,f19g12.3
bcat-1,aat-3
bcat-1,y49f6c.6
bcat-1,unc-33
bcat-1,y57g11c.18
bcat-1,sdz-37
bcat-1,t05f1.13
bcat-1,mksr-2
bcat-1,oac-49
bcat-1,glr-6
bcat-1,w10d9.2
bcat-1,c33d3.5
bcat-1,nhr-128
bcat-1,w07e6.3
bcat-1,ubc-22
bcat-1,f17c11.1
bcat-1,c04e7.3
bcat-1,srz-85
bcat-1,m163.1
bcat-1,eri-12
bcat-1,sri-70
bcat-1,gnrr-6
bcat-1,nhr-103
bcat-1,srx-76
bcat-1,f23c8.3
bcat-1,t20b12.4
bcat-1,flr-2
bcat-1,spc-1
bcat-1,kcnl-3
bcat-1,asic-2
bcat-1,y46h3a.5
bcat-1,klf-3
bcat-1,f22e5.6
bcat-1,c13g3.1
bcat-1,e02c12.11
bcat-1,mksr-1
bcat-1,fos-1
bcat-1,y44e3a.1
bcat-1,y43f8b.14
bcat-1,spe-9
bcat-1,daf-14
bcat-1,gpcp-1
bcat-1,f53c3.8
bcat-1,e02c12.10
bcat-1,sulp-4
bcat-1,nhr-18
bcat-1,r10e11.9
bcat-1,mak-2
bcat-1,nhr-203
bcat-1,che-13
bcat-1,rnt-1
bcat-1,f08g12.8
bcat-1,axl-1
bcat-1,ctn-1
bcat-1,srt-30
bcat-1,glr-7
bcat-1,gsto-2
bcat-1,fbxa-34
bcat-1,zk54.3
bcat-1,zk418.3
bcat-1,egap1.1
bcat-1,y44a6c.1
bcat-1,f47e1.1
bcat-1,catp-2
bcat-1,f40f12.9
bcat-1,t10c6.15
bcat-1,c47e8.10
bcat-1,y50e8a.6
bcat-1,fbxa-61
bcat-1,zk892.4
bcat-1,k06a4.8
bcat-1,w01a8.10
bcat-1,t20h9.6
bcat-1,nhr-19
bcat-1,y53f4b.45
bcat-1,m05b5.3
bcat-1,zk809.9
bcat-1,tag-272
bcat-1,srh-213
bcat-1,t26a8.3
bcat-1,cst-1
bcat-1,rpl-25.1
bcat-1,attf-4
bcat-1,str-97
bcat-1,spe-29
bcat-1,f40h6.5
bcat-1,b0432.14
bcat-1,arrd-27
bcat-1,y39e4b.13
bcat-1,k12h6.12
bcat-1,duox-2
bcat-1,k08c9.5
bcat-1,nhr-35
bcat-1,egl-44
bcat-1,rund-1
bcat-1,fbxa-76
bcat-1,f33e2.8
bcat-1,clec-103
bcat-1,k02e7.10
bcat-1,c29f9.6
bcat-1,f46a8.7
bcat-1,y43d4a.5
bcat-1,t17a3.2
bcat-1,fbxa-199
bcat-1,zc239.6
bcat-1,f09b12.5
bcat-1,ceh-88
bcat-1,c25f9.12
bcat-1,t06e6.15
bcat-1,fbxa-50
bcat-1,fbxa-37
bcat-1,sav-1
bcat-1,nhr-179
bcat-1,nhr-87
bcat-1,odr-10
bcat-1,f39e9.7
bcat-1,y105e8a.28
bcat-1,nhr-59
bcat-1,nhr-116
bcat-1,y102a11a.9
bcat-1,r08b4.5
bcat-1,c30h6.12
bcat-1,tkr-1
bcat-1,dhhc-10
bcat-1,gcy-21
bcat-1,c06g3.6
bcat-1,fbxa-171
bcat-1,c53a5.11
bcat-1,m04f3.4
bcat-1,t20g5.13
bcat-1,droe-8
bcat-1,zc178.1
bcat-1,grd-7
bcat-1,f09c6.3
bcat-1,f07g11.4
bcat-1,c16d9.9
bcat-1,f47g4.4
bcat-1,arl-13
bcat-1,nhr-56
bcat-1,t12e12.6
bcat-1,f52e1.9
bcat-1,crn-2
bcat-1,abcx-1
bcat-1,cwp-5
bcat-1,c02e7.10
bcat-1,nhr-150
bcat-1,t06d8.2
bcat-1,nhr-262
bcat-1,t25b6.5
bcat-1,mig-1
bcat-1,srw-23
bcat-1,c04f5.2
bcat-1,f43b10.1
bcat-1,npr-16
bcat-1,c17h11.6
bcat-1,sre-14
bcat-1,ccb-2
bcat-1,lov-1
bcat-1,nhr-265
bcat-1,acs-9
bcat-1,w06g6.12
bcat-1,f26d11.13
bcat-1,abt-2
bcat-1,del-4
bcat-1,zk112.6
bcat-1,f35f11.3
bcat-1,pkd-2
bcat-1,mff-1
bcat-1,c09f9.4
bcat-1,f41g4.4
bcat-1,f41g4.5
bcat-1,k01a2.12
bcat-1,unc-77
bcat-1,wbgene00008573
bcat-1,f54h12.4
bcat-1,y37a1a.4
bcat-1,f12e12.6
bcat-1,f54b11.4
bcat-1,cd4.5
bcat-1,fbxa-147
bcat-1,uev-2
bcat-1,arrd-23
bcat-1,fbxa-33
bcat-1,f40h3.6
bcat-1,y57g11b.1
bcat-1,str-253
bcat-1,c17h1.4
bcat-1,k11c4.2
bcat-1,c29f7.10
bcat-1,c24h12.2
bcat-1,m01g12.14
bcat-1,trpp-12
bcat-1,nhr-146
bcat-1,k10g4.13
bcat-1,slcf-2
bcat-1,y17d7c.3
bcat-1,f57a8.9
bcat-1,f52g3.1
bcat-1,c08e8.3
bcat-1,y46g5a.43
bcat-1,f07h5.5
bcat-1,k10g4.10
bcat-1,c36b7.1
bcat-1,bkip-1
bcat-1,srw-61
bcat-1,srx-41
bcat-1,r07d5.2
bcat-1,c16d6.1
bcat-1,fbxa-47
bcat-1,arl-7
bcat-1,zc15.4
bcat-1,f13a2.9
bcat-1,r106.5
bcat-1,zc47.11
bcat-1,f54f3.2
bcat-1,f56d5.8
bcat-1,y105c5a.1271
bcat-1,y51h7br.8
bcat-1,str-147
bcat-1,f32a7.8
bcat-1,y38h6c.24
bcat-1,y17d7c.6
bcat-1,ins-20
bcat-1,srt-62
bcat-1,d1054.18
bcat-1,srh-82
bcat-1,b0457.19
bcat-1,y37h2a.16
bcat-1,sre-39
bcat-1,f58a6.2
bcat-1,y13c8a.4
bcat-1,h16d19.6
bcat-1,h16d19.7
bcat-1,k08e3.2
bcat-1,m04b2.6
bcat-1,nhr-175
bcat-1,f20g2.7
bcat-1,c04e7.4
bcat-1,c49g9.2
bcat-1,y87g2a.25
bcat-1,y59e1b.1
bcat-1,ceh-75
bcat-1,y52b11a.14
bcat-1,y105e8a.34
bcat-1,y48g1bm.2
bcat-1,dylt-2
bcat-1,c45g9.14
bcat-1,c14a11.5
bcat-1,f36g3.3
bcat-1,sru-27
bcat-1,h31g24.2
bcat-1,srx-72
bcat-1,frpr-9
bcat-1,f41d9.11
bcat-1,f13a2.10
bcat-1,c53d6.5
bcat-1,plr-1
bcat-1,f58f9.1
bcat-1,f08d12.4
bcat-1,r11g1.1
bcat-1,k10c8.4
bcat-1,irld-13
bcat-1,str-267
bcat-1,aexr-1
bcat-1,y57g11b.4
bcat-1,e03a3.1
bcat-1,srx-86
bcat-1,y73b6bl.47
bcat-1,oac-13
bcat-1,nhr-174
bcat-1,r03h4.8
bcat-1,mir-258.1
bcat-1,k08b12.4
bcat-1,mir-8192
bcat-1,f02d8.1
bcat-1,y87g2a.17
bcat-1,w05g11.4
bcat-1,t26e3.10
bcat-1,y50e8a.19
bcat-1,y71g12b.31
bcat-1,srb-19
bcat-1,nhr-171
bcat-1,d1069.1
bcat-1,y37e11al.6
bcat-1,t05f1.7
bcat-1,srh-201
bcat-1,y82e9br.6
bcat-1,t02e9.6
bcat-1,t22f3.12
bcat-1,f37h8.6
bcat-1,c23h5.11
bcat-1,f54h12.2
bcat-1,c16d2.2
bcat-1,oac-8
bcat-1,y82e9bl.12
bcat-1,f44a6.3
bcat-1,m02e1.3
bcat-1,fbxa-221
bcat-1,mig-18
bcat-1,t04c9.10
bcat-1,t10g3.8
bcat-1,fbxa-49
bcat-1,c23g10.5
bcat-1,w04b5.6
bcat-1,y71a12b.15
bcat-1,b0273.115
bcat-1,sre-1
bcat-1,nhr-283
bcat-1,wbgene00009847
bcat-1,zk112.5
bcat-1,y73c8c.4
bcat-1,b0250.18
bcat-1,c32b5.13
bcat-1,k05f6.14
bcat-1,y54e2a.13
bcat-1,c37a5.11
bcat-1,y75b8a.41
bcat-1,str-94
bcat-1,y45f3a.6
bcat-1,f16a11.5
bcat-1,f46f2.1
bcat-1,sri-44
bcat-1,kin-23
bcat-1,c01b12.9
bcat-1,f17e9.14
bcat-1,y102a5c.38
bcat-1,t23b7.3
bcat-1,egap9.4
bcat-1,y43f8b.8
bcat-1,c04f6.7
bcat-1,f49c5.12
bcat-1,y73f8a.33
bcat-1,b0391.8
bcat-1,f07g11.6
bcat-1,b0207.5
bcat-1,dhc-4
bcat-1,f33e2.10
bcat-1,k10b4.1
bcat-1,nhr-221
bcat-1,str-183
bcat-1,clec-161
bcat-1,y52b11a.19
bcat-1,c09g5.13
bcat-1,c33d3.2
bcat-1,b0457.16
bcat-1,wbgene00194762
bcat-1,m163.11
bcat-1,nhr-151
bcat-1,zk892.8
bcat-1,c27d6.1
bcat-1,c05e7.3
bcat-1,c25h3.18
bcat-1,fbxc-6
bcat-1,pat-9
bcat-1,t13a10.2
bcat-1,c55b6.5
bcat-1,e02c12.12
bcat-1,f58d12.3
bcat-1,srj-34
bcat-1,f52e1.12
bcat-1,y38h8a.8
bcat-1,r74.10
bcat-1,srh-54
bcat-1,c33e10.4
bcat-1,c06g3.4
bcat-1,pitp-1
bcat-1,t10b9.9
bcat-1,gur-3
bcat-1,f49a5.10
bcat-1,k02e2.11
bcat-1,f16h6.11
bcat-1,c25f9.16
bcat-1,b0244.15
bcat-1,f40g9.20
bcat-1,f56f3.7
bcat-1,y53f4b.43
bcat-1,f20b10.2
bcat-1,zk742.7
bcat-1,c25f9.2
bcat-1,e04f6.2
bcat-1,c05e11.10
bcat-1,y17d7c.4
bcat-1,f08b4.4
bcat-1,f44c4.6
bcat-1,lgc-12
bcat-1,sru-43
bcat-1,b0344.1
bcat-1,ac8.10
bcat-1,ztf-29
bcat-1,t27e7.10
bcat-1,srt-63
bcat-1,f46h6.5
bcat-1,fbxa-23
bcat-1,r03d7.3
bcat-1,f39e9.10
bcat-1,y113g7a.2
cav-1,col-139
cav-1,f15e6.3
cav-1,cav-1
cav-1,gsto-1
cav-1,cth-1
cav-1,nep-8
cav-1,col-50
cav-1,cyp-14a3
cav-1,amt-1
cav-1,comt-4
cav-1,spp-12
cav-1,thn-1
cav-1,arrd-11
cav-1,d1086.9
cav-1,ugt-46
cav-1,c49c8.5
cav-1,f28h7.3
cav-1,scav-5
cav-1,clec-66
cav-1,dod-17
cav-1,f42a10.7
cav-1,f58g6.9
cav-1,fat-7
cav-1,zk896.5
cav-1,ilys-3
cav-1,ctsa-1
cav-1,scl-2
cav-1,dct-17
cav-1,gst-26
cav-1,cpr-1
cav-1,col-179
cav-1,asp-14
cav-1,crh-2
cav-1,dhs-2
cav-1,sodh-1
cav-1,acs-2
cav-1,clec-60
cav-1,r07e5.4
cav-1,ctsa-2
cav-1,spp-9
cav-1,t16g1.7
cav-1,f44g3.2
cav-1,scl-11
cav-1,asp-10
cav-1,cpr-8
cav-1,hrg-2
cav-1,cpg-7
cav-1,ctl-2
cav-1,nas-3
cav-1,fil-1
cav-1,scl-12
cav-1,asah-1
cav-1,hrg-3
cav-1,gba-2
cav-1,mom-4
cav-1,f32h5.1
cav-1,y54g11a.7
cav-1,lin-23
cav-1,y94h6a.16
cav-1,aho-3
set-25,col-129
set-25,col-139
set-25,col-81
set-25,vit-3
set-25,col-142
set-25,npp-8
set-25,y45f10c.2
set-25,k07c11.7
set-25,nduo-5
set-25,ram-2
set-25,cyp-34a9
set-25,cyp-25a2
set-25,daf-16
set-25,y6g8.2
set-25,gst-39
set-25,h19n07.3
set-25,y46g5a.29
set-25,y38f2ar.9
set-25,h02f09.3
set-25,math-14
set-25,ugt-53
set-25,f07b7.2
set-25,f07b7.1
set-25,dod-24
set-25,w09b7.1
set-25,w09b7.2
set-25,f58g6.9
set-25,f47h4.2
set-25,let-60
set-25,f40d4.13
set-25,fkb-5
set-25,y102a5c.36
set-25,y37a1a.2
set-25,cls-3
set-25,col-42
set-25,col-124
set-25,odc-1
set-25,f56a4.2
set-25,c39b5.5
set-25,clec-190
set-25,asp-8
set-25,f57f4.4
set-25,vit-5
set-25,vit-4
set-25,unc-54
set-25,b0513.4
set-25,drd-10
set-25,cpr-5
set-25,col-179
set-25,ugt-64
set-25,ttr-31
set-25,t05e12.3
set-25,t15b7.1
set-25,f36a2.14
set-25,c12d12.1
set-25,f41g4.7
set-25,c18d4.6
set-25,c29f7.2
set-25,c27a7.8
set-25,gfi-1
set-25,gln-3
set-25,mct-1
set-25,lys-10
set-25,col-92
set-25,col-94
set-25,clec-209
set-25,lin-45
set-25,c27d9.1
set-25,y54f10am.11
set-25,c18h9.5
set-25,pqn-22
set-25,r04b3.2
set-25,npr-27
set-25,c35e7.5
set-25,f26f12.3
set-25,d1054.9
set-25,bath-13
set-25,c52e2.4
set-25,f42a9.6
set-25,f28c6.10
set-25,ech-7
set-25,cyp-25a1
set-25,daz-1
set-25,grsp-4
set-25,f45h10.3
set-25,y39a3cl.3
set-25,ztf-28
set-25,sygl-1
set-25,y37h2a.13
set-25,y67h2a.10
set-25,col-98
set-25,maph-1.1
set-25,grd-10
set-25,t19d12.1
set-25,atgp-2
set-25,y20c6a.1
set-25,zc15.3
set-25,ptr-15
set-25,rpl-11.2
set-25,fbxa-136
set-25,tax-6
set-25,k10c3.4
set-25,sao-1
set-25,nhl-2
set-25,pup-2
set-25,gld-4
set-25,y20f4.4
set-25,sup-26
set-25,y9d1a.1
set-25,math-24
set-25,c01g5.4
set-25,fbxa-189
set-25,f54c8.1
set-25,col-13
set-25,col-143
set-25,srbc-15
set-25,math-45
set-25,b0205.13
set-25,zc204.14
set-25,y71a12b.19
set-25,mex-6
set-25,imb-1
set-25,f36d3.1
set-25,y102a5c.5
set-25,y8a9a.2
set-25,c08f11.12
set-25,y45f10c.4
set-25,r08e3.1
set-25,r08e3.2
set-25,c52e2.5
set-25,c55c3.3
set-25,c46g7.5
set-25,y34f4.5
set-25,w06a11.4
set-25,num-1
set-25,his-72
set-25,r08e5.3
set-25,zip-9
set-25,nsy-1
set-25,larp-5
set-25,trap-2
set-25,mtce.33
set-25,ret-1
set-25,
set-25,rrn-3.1
set-25,f31c3.15
set-25,f22d6.2
set-25,rps-27
set-25,rrn-1.1
set-25,rrn-1.2
set-25,atx-2
set-25,mct-2
set-25,f31c3.14
set-25,gld-2
set-25,f58d5.5
set-25,atf-7
set-25,csnk-1
set-25,zk858.6
set-25,c10g11.6
set-25,f23a7.8
set-25,hip-1
set-25,acdh-7
set-25,y116f11b.10
set-25,grl-17
set-25,rpr-1
set-25,mrpr-1
set-25,w06h8.5
set-25,sut-2
set-25,bath-12
set-25,myrf-2
set-25,sdc-3
set-25,y82e9br.3
set-25,f57b10.14
set-25,iff-2
set-25,pfs-2
set-25,c35b1.4
set-25,let-92
set-25,kin-4
set-25,f29b9.11
set-25,clec-70
set-25,rps-16
set-25,y43f8b.24
set-25,mtce.7
set-25,sft-4
set-25,r04e5.8
set-25,k10g4.5
set-25,f12f6.1
set-25,gdh-1
set-25,lov-1
set-25,snb-1
set-25,f41b5.1
set-25,c07g3.8
set-25,sup-6
set-25,zc15.4
set-25,y38h8a.8
set-25,f40g12.14
set-25,f40g12.13
set-25,sup-39
set-25,t27e4.10
set-25,c08f8.9
set-25,w09g10.t3
set-25,mir-354
set-25,f43a11.8
set-25,c38c6.8
set-25,f52d4.1
set-25,h27m09.6
set-25,t27e4.11
set-25,t27e4.12
set-25,y53f4b.48
set-25,f08h9.11
set-25,f08h9.10
set-25,r144.15
set-25,zc155.8
set-25,sec-24.2
set-25,nduo-3
set-25,m162.12
hif-1,clec-67
hif-1,m60.2
hif-1,clec-41
hif-1,y54g2a.21
hif-1,pmt-1
hif-1,sams-1
hif-1,ifc-2
hif-1,nit-1
hif-1,clec-222
hif-1,sdha-1
hif-1,hecd-1
hif-1,alg-4
hif-1,ttr-14
hif-1,t10e9.4
hif-1,col-39
hif-1,pgp-6
hif-1,alg-3
