# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
daf-16,ins-35
daf-16,f40a3.2
daf-16,c26b9.3
daf-16,hlh-13
daf-16,y55b1bl.1
daf-16,clec-76
daf-16,npr-8
daf-16,cc8.2
daf-16,hex-1
daf-16,sek-4
daf-16,dao-3
daf-16,t28a11.2
daf-16,fkb-7
daf-16,r07a4.3
daf-16,hsp-70
daf-16,m01f1.4
daf-16,ugt-11
daf-16,f53b1.8
daf-16,f46a9.1
daf-16,c46h11.10
daf-16,cdr-3
daf-16,cdr-2
daf-16,nlp-39
daf-16,f35d11.3
daf-16,nspa-1
daf-16,t08b1.4
daf-16,fipr-22
daf-16,ftn-1
daf-16,cyp-13a5
daf-16,dhs-30
daf-16,hsp-12.6
daf-16,clec-17
daf-16,nhr-132
daf-16,zc196.2
daf-16,scl-24
daf-16,f08b12.4
daf-16,zk829.7
daf-16,zig-9
daf-16,zc239.14
daf-16,math-21
daf-16,asm-2
daf-16,f56c9.8
daf-16,y6e2a.5
daf-16,y6e2a.4
daf-16,f35f10.5
daf-16,c52a10.2
daf-16,dct-6
daf-16,c08f11.3
daf-16,f10d11.6
daf-16,cyp-13a11
daf-16,f57c2.5
daf-16,c23h4.2
daf-16,t25f10.3
daf-16,akt-2
daf-16,akt-1
daf-16,mtch-1
daf-16,f41b4.1
daf-16,cyp-13a12
daf-16,poml-4
daf-16,c17b7.2
